Time,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,A1,A2,A3,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
0.652,32.420010194793434,45.03186474662313,61.05190147070928,83.19302406490137,21.93459299578308,29.356950901111,29.64996436766675,44.99618127786944,14.58084015900829,11.634050701316099,10.72686764462295,16.217506342327976,2.537939385205445,-4.0301399322394005,-8.567106323220237,195.83093253931438,234.5592264445757,38.728293905288325,-313.11054576170585,176.46678558670743,253.92337339722417,105.26109320718504,614.0450179293372,498.6069017278293,382.85401390003165,304.6303479701861,259.56017155266244
0.654,33.02440844572232,45.40197688519652,60.01851199008539,81.17491753195125,22.232435036389866,29.46465447952337,29.77780815629834,43.59097276044867,15.008727422354353,11.998997148079702,10.361825256450228,15.787245367517988,2.7065012184190267,-3.4318828653225206,-8.568975686597092,196.06312785373888,235.50156965347588,39.438441799763865,-313.8139126805807,176.34390695389365,255.22079055336306,98.97405757286263,599.9917391040572,491.8053997249831,382.74285838017624,307.1335448866153,263.4092483660948
0.656,33.554058684754025,45.66335357102306,58.93077689861716,79.0956303573362,22.509909942631396,29.53840313449954,29.85128225471489,42.17901648557655,15.382234208794241,12.316345691528504,9.99000671805117,15.28219982461949,2.8138605951933426,-2.874422708068819,-8.557233386638275,196.06541861052176,235.8039168675479,39.7384982570529,-313.9673770443998,176.19616948203145,255.6731659960805,92.49700754471779,584.5086130795976,483.7739581000894,381.64179245976663,308.78691428101166,266.46869133407176
0.658,33.48757961797866,45.05754478505914,57.40962544671831,76.52841617947145,22.624953161898112,29.341354955915037,29.491147955234066,40.71324558924856,15.322046571466382,12.254092097866957,9.564147120527885,14.180733433488625,2.433118991824891,-2.6423254978606128,-8.436935538388685,196.2078044849367,235.77626781700351,39.568463332093394,-314.09593839354284,176.42357281892558,255.56049948305724,85.77994373327593,567.5756398394574,474.542576468366,379.6908153907829,309.62045530233894,268.7485000207575
0.66,33.42110055120327,44.45173599909498,55.88847399481883,73.96120200160564,22.739996381164875,29.144306777330456,29.13101365575309,39.247474692919965,15.261858934138498,12.191838504205384,9.138287523004424,13.079267042357305,2.052377388456283,-2.410228287652311,-8.316637690139043,195.9202851468252,235.22862222617732,39.30833707937857,-313.5345962600185,176.26611660717094,254.88279076587457,79.00286674964147,549.3828193556881,464.3112544356784,376.8899264169107,309.6041670923224,270.12867398132926
0.662,33.35462148442787,43.845927213130814,54.36732254291936,71.39398782373985,22.85503960043164,28.947258598745876,28.770879356272115,37.78170379659137,15.201671296810614,12.12958491054381,8.712427925480963,11.977800651225987,1.671635785087675,-2.178131077444009,-8.196339841889403,194.7128602606335,233.5109798135661,38.79811955295894,-311.46835016752146,175.31380048418853,252.91003959005445,72.2157772054491,529.9201515889049,452.9799915986058,372.96912477363196,308.50804878552555,270.3892127620171
0.664,33.28248054852839,43.2344585068025,52.84334423618013,68.82583199947938,22.970087598394105,28.746437122719605,28.4079148724601,36.31972019109019,15.145266901035292,12.068277108674145,8.291296627704867,10.879172243515107,1.3126292513364932,-1.9375280697877875,-8.071315592122849,192.76552948545003,231.67334029186833,38.907810806444516,-308.6021996314894,173.31162408226174,251.12724569510038,65.37867571281535,509.18763648830054,440.3387875445069,367.75840968831847,306.2620995094277,269.43011590014333
0.666,32.85030539919746,42.26307950728043,51.13960824931185,66.19779755351465,23.085439470206214,28.30567435756918,27.86498098857718,35.098567704072096,15.329436133284625,12.067111531288178,8.170834533513208,9.961009174360246,2.335740269579297,-1.1560474779498175,-7.645742845875967,189.78829247504342,229.6857033680243,39.897410893007034,-304.63114415916095,169.83958702857325,249.63440881453852,58.62156288428991,487.57527399165906,426.70764185158896,361.4577803803239,302.9863183845017,267.5113829241631
0.668,32.418130249866714,41.29170050775877,49.43587226244428,63.569763107551,23.200791342018277,27.864911592418938,27.322047104694484,33.8774152170545,15.51360536553388,12.065945953902212,8.050372439321597,9.042846105205761,3.35885128782168,-0.3745668861121687,-7.220170099629259,186.2711488779007,226.848068743257,40.57691986538233,-299.69518324963485,165.98268894524233,247.13652867595974,51.63443933280723,464.8730640253723,411.8465540889756,353.7872360610795,298.4707045242934,264.35301335370565
0.67,31.985955100535786,40.3203215082367,47.732136275576,60.94172866158627,23.316143213830387,27.424148827268514,26.779113220811563,32.6562627300364,15.697774597783214,12.064780376516243,7.9299103451299375,8.1246830360509,4.381962306064484,0.4069137057258012,-6.794597353382377,181.72409833726647,222.79043611311337,41.0663377758728,-293.11931639392895,161.1909294493623,243.3236050010622,45.04730567163825,441.60100650445656,395.99552381677796,345.00677593418834,292.7652570354999,260.02500669961523
0.672,31.553779951205037,39.348942508715034,46.028400288708426,58.313694215622625,23.43149508564245,26.98338606211827,26.236179336928867,31.435110243018805,15.88194383003247,12.063614799130276,7.809448250938327,7.206519966896417,5.4050733243068665,1.18839429756345,-6.369024607135669,176.7971404911821,217.73280516750617,40.93566467634995,-285.6635430750412,156.32930815303877,238.2006375056945,38.65016251434201,417.629101332572,378.99455058616536,334.91639919552176,285.65997501805083,254.3973624639942
0.674,30.72920503805833,38.0413949451372,43.9883895022306,55.23685225060286,23.266502119858846,26.206266064205128,25.637401738845778,30.1582679382883,15.954055725051004,12.06249615021048,7.633058193425178,6.400790162382883,6.259828403932078,1.7454277733083488,-6.0556168457771,171.86027497252542,212.02517559075676,40.164900618257064,-277.8728627680101,151.777824663428,232.10762589989952,32.793010474717576,393.25734840204154,361.12363393943815,323.7461050333168,277.41485756518813,247.66008014024504
