,A1,A2,A3,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
11006,-28.095012078749694,-50.51829958548835,-22.4232875067938,53.35416187152525,-16.88336832535218,-61.729943338937034,21.54452260092974,-39.8599620773645,-439.29064039548723,-60.33695794568673,-91.47830625699098,-70.87997111461434
11007,-34.439033067778574,-54.06840797650486,-19.629374908781415,61.47323705606197,-24.62434561338759,-63.88309543094672,22.9292673308851,-41.80252660221876,-438.7490333284393,-63.35162812518614,-94.48425842814368,-74.40811272457363
11008,-40.47334838508164,-57.57865277147029,-17.10530438644378,69.26267477084734,-31.92069619185981,-66.13130496474271,24.03363197867398,-43.74683145347901,-438.4593970208656,-66.34774301447354,-97.54040566677324,-77.87654630702629
11009,-46.00795803553618,-60.979032831250336,-14.97107479576928,76.4974744511915,-38.522420637651955,-68.46457022918487,25.90761386880139,-45.56288289333022,-438.1116083257565,-69.20530700348787,-100.44674724995448,-81.14527198684227
11010,-50.85286201360034,-64.05954700758019,-13.206684994034969,82.88263551742017,-44.249519516583625,-70.66288950464693,26.70121032958292,-47.41068713484306,-438.24554467653013,-72.15432443979533,-103.41328244621737,-84.24428987812493
11011,-55.0180603032762,-66.80019414308225,-11.782133839861155,88.41815737484663,-49.12699338334674,-72.6912610630614,27.96441869328961,-48.98025034151706,-438.0910840943249,-74.83479962824215,-106.07001051555586,-86.93360008417007
11012,-58.48355287807302,-69.15097307128406,-10.667420193266135,93.05903941374393,-53.14984278144143,-74.48468316796502,29.36723629629323,-50.321578626824135,-437.47810519529634,-77.16673683060777,-108.33693070943733,-89.16320269742494
11013,-61.26933970097076,-71.13188261663673,-9.862542915721058,96.83528100931757,-56.33806824311205,-76.06315407454446,30.649660479211892,-51.41467805375219,-436.55648719792123,-79.36014026525838,-110.474042270812,-91.09309779944772
11014,-63.38542072438372,-72.7429215945336,-9.357500870204952,99.75688152167854,-58.70667028928342,-77.42167202968255,32.561688587056004,-52.20955463434916,-434.9961099303064,-81.20501410680059,-112.2613444341231,-92.64328546086708
11015,-64.92179589012441,-74.04408881132923,-9.122292921259866,101.94384029581664,-60.36064942949702,-78.60523527200492,32.92331796937454,-52.986214329267185,-433.6168538375028,-83.07136248573593,-114.03883642531707,-93.99376574134197
11016,-66.08846512936768,-75.02538306435885,-8.936917935046196,103.60115666157432,-61.62000616184749,-79.49384203192697,34.40454598040162,-53.34466304730723,-431.078599988825,-84.26918948811509,-115.01651746185435,-94.75453868952175
11017,-66.96542836261489,-75.70680314195798,-8.74137477939811,104.81882993362066,-62.594740972919084,-80.0774905317013,35.0253699792035,-53.54490664496387,-428.37123008517534,-85.2684991551932,-115.76438675272034,-95.31560434300637
11018,-67.6826854996584,-76.09834782348253,-8.415662323879113,105.73185941142604,-63.47485433772245,-80.30617898546559,35.87578732982575,-53.50695092597061,-425.17462646637216,-85.90929548308499,-116.17244349843689,-95.58696272830694
11019,-68.2802364395463,-76.23001587932912,-7.949779439837792,106.39524437923684,-64.30534671963139,-80.20490559929077,35.79579540144086,-53.40080164084527,-421.9986721184826,-86.39158242242065,-116.45068689107399,-95.71861386080643
11020,-68.84808107054721,-76.18180607095591,-7.333725000463637,106.93898410605074,-65.18121857031971,-79.84866857122968,36.19539156849605,-53.0564644864361,-418.5532506811595,-86.52536387800208,-116.35911611426184,-95.66055774472056
11021,-69.39621927011538,-75.96371715090349,-6.567497880843042,107.37807784559229,-66.11247032969854,-79.24746609136616,37.53457321086143,-52.46394510546792,-414.7782464549812,-86.21064370845951,-115.6877303432033,-95.31279437305915
11022,-69.90465090485593,-75.62574786281641,-5.721096958015401,107.71752483628889,-67.04410242585327,-78.48629634186445,37.723337713978474,-51.97324908608894,-411.9835444087961,-86.07742572590863,-115.25652874468678,-95.17532372758733
11023,-70.4633758304903,-75.25789694146478,-4.794521111029372,108.09232430124706,-68.06611527498103,-77.65515749701899,38.47168246900866,-51.48438196141789,-409.6290301870686,-85.7157136956081,-114.63551047709916,-94.95814577878733
11024,-71.06239389182205,-74.9101631127664,-3.8477692209992322,108.5174754482292,-69.1385092813282,-76.8340477233047,39.03960487298252,-50.98734920909155,-408.21459011722965,-85.29551133561773,-114.04467469043938,-94.72126048582028
11025,-71.72170492270259,-74.55254509380907,-2.8308401711613858,108.99797746963068,-70.30628483712802,-75.96796517942764,40.967102328948904,-50.27215625081282,-407.2201112170285,-84.59682231645682,-113.22402052633228,-94.37466779648834
11026,-72.3213087459973,-74.1250415928734,-1.8037328469309863,109.38382954245718,-71.41944232253832,-75.02690801637591,42.18417224612451,-49.708808451899216,-407.5954812018875,-84.01965026076344,-112.63354711804251,-94.16836764719696
11027,-72.92120517355194,-73.65765130945573,-0.7364461359586869,109.75003082830258,-72.55298210557946,-74.02587437747124,44.45081204004363,-49.05731112083186,-408.5805884922588,-83.2939987429538,-111.97325359048932,-93.91235996291748
11028,-73.51139400615897,-73.15037293429157,0.36102107181249343,110.08658047332713,-73.69190454207244,-72.96986239842063,46.81701913270823,-48.43766950880503,-410.28532222098295,-82.56987128888247,-111.28313906026105,-93.6366446571499
11029,-74.15187503352435,-72.66320514937924,1.4886698840901769,110.48347760823596,-74.89620997557702,-71.91887020736858,49.432790952738216,-47.79988880927612,-412.52957224064846,-81.76727137550284,-110.58320263563043,-93.25122163188591
