,ch_15,ch_14,ch_13,ch_12,ch_11,ch_10,ch_9,ch_8,ch_7,ch_6,ch_5,ch_4,ch_3,ch_2,ch_1,A1,A2,A3,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
313,6.28093475797793,-0.7487579534039608,0.6285719021276852,5.497565672937025,8.55609663137229,14.701646353403827,10.2914423430058,12.383936566646609,15.304883430100945,14.247873309846732,15.732148747716641,10.963345658561963,14.27514206341464,19.09987357180995,20.20541327326673,0.12526077304098537,-19.951313831761432,-20.076574604759067,9.850396142778623,10.163548075358058,-29.9896011340281,30.64615630219026,115.6795631871209,60.86983963992625,80.80300379520736,11.117981031957097,4.162764220642743
314,6.221998296229979,-0.999213312206432,0.2534625891615181,4.641863514062166,8.735486664033584,14.696456935712346,10.473977952018467,12.562472660533047,15.363434183402752,14.305530519371747,15.914200999463587,11.274149959578908,13.967184963116534,19.289062304528382,20.084883421207035,-3.443793885786917,-26.393850339480785,-22.95005645365075,16.64071905546612,8.031234340975814,-37.86887856619328,33.622098563050436,111.46407870566932,53.097602997109284,66.91337376272602,1.9352643094673856,-1.3221621545208446
315,6.20905127477046,-1.0657514952078901,0.2458305458309884,4.107808082843064,9.144766506077413,14.508002700585523,10.51904655494415,12.64927947969657,15.330378538829995,14.317383180088667,16.004595136301344,11.493280697819817,13.980584724863345,19.248852011318636,19.689100735442857,-6.433497674365933,-32.20739361742279,-25.773895943013947,22.537194483016055,6.453450297078234,-45.09434158881687,36.14829673032283,107.55627341296154,46.22356809269583,54.321824228652005,-6.258716793311466,-6.1183888423968495
316,6.211272017972898,-1.0716320050055363,0.3593960798028043,3.6798348704721793,9.6298662429713,14.259105946388347,10.518777202373212,12.70583309197423,15.267110213351037,14.314129055151945,16.064759535451845,11.68217660351666,14.099971104960568,19.132983688414782,19.202536988244404,-9.063854496400392,-37.58194870830928,-28.51809421186617,27.854828850493657,5.1951926094697445,-51.84099581412943,38.32475033528915,103.89612898119296,40.15771996062902,42.95834399588921,-13.433967291031442,-10.295923703050251
317,6.213492761175335,-1.0775125148031826,0.47296161377462015,3.251861658101295,10.114965979865188,14.010209192191171,10.518507849802274,12.76238670425189,15.203841887872079,14.31087493021522,16.124923934602347,11.871072509213507,14.219357485057792,19.01711536551093,18.715973241045948,-11.444868244006582,-42.337520634529334,-30.892652390480233,32.61362856120978,4.001457951170464,-57.783846829656504,40.001458899988414,100.34362710945547,34.69004364781238,32.71292190447396,-19.68049216614721,-14.024774573801599
318,6.2157135043777725,-1.0833930246008288,0.586527147746436,2.82388844573041,10.600065716759074,13.761312437993993,10.518238497231337,12.818940316529549,15.140573562393122,14.307620805278498,16.185088333752848,12.059968414910351,14.338743865155015,18.90124704260708,18.229409493847495,-13.52654279743977,-46.38411439772054,-32.85757160023843,36.71859999623845,2.9022430026162755,-62.8129001977268,41.52842193715614,97.14874952483285,29.910524214926244,23.755546832360665,-24.938296368415177,-17.184949268724875
319,5.8977474778179735,-0.9688854695815757,0.7804245396146594,2.5163368706621156,10.805286358092946,13.352564026119284,10.358029815958242,12.595317707384925,14.79723648027489,14.104282407835573,16.045205747894194,11.888670059738471,14.177967902264635,18.345085484371733,17.58282504040756,-15.41888202481998,-50.09173497834814,-34.672852953486,40.46474951393235,1.9175444518597717,-67.42816145497815,42.82563895016361,94.1514779835023,25.64914673724877,15.87620769621078,-29.477384814390373,-19.9264555781433
320,5.411816438727133,-0.791224203275082,1.016462777990162,2.271956618486263,10.863686767510854,12.859959914320267,10.113919443901315,12.224718998706148,14.306979672980628,13.79598290483627,15.8003816169217,11.52841938281591,13.870223120251646,17.557952924915117,16.85229620678903,-17.07188978185657,-53.58038733528243,-36.50849755338388,43.86208344943596,1.1823589947720614,-71.83463611186137,43.613109432956975,91.1017942718419,21.57589630548158,8.664893452184968,-33.907762386921114,-22.45930126812319
321,4.925885399637265,-0.6135629369689442,1.2525010163651922,2.0275763663108997,10.922087176928647,12.367355802522239,9.869809071844877,11.854120290028114,13.816722865687346,13.487683401837586,15.555557485949695,11.16816870589407,13.562478338239274,16.77082036546008,16.121767373171966,-18.445569911571578,-56.46007640537412,-38.01450649376073,46.675608114196706,0.5616833352454372,-75.46732965214147,44.3108328699963,88.3296802075444,17.900758026580053,2.5715930967384186,-37.739433934641625,-24.6234940799658
322,4.439954360546424,-0.43590167066245045,1.488539254740695,1.783196114135047,10.980487586346555,11.874751690723222,9.62569869978795,11.483521581349336,13.326466058393082,13.179383898838283,15.310733354977199,10.807918028971509,13.254733556226283,15.983687806003466,15.391238539553436,-19.619926244021883,-58.97080710302782,-39.350880858964324,49.105329795473764,0.055514185396897064,-78.64624753239696,44.84880873619459,85.75511764073693,14.563717024588112,-2.6937043325806154,-41.3124042714623,-26.559041729697196
