A1,A2,A3,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
6.958955572053332,-62.6805973699761,-69.63955294204668,24.381343112829377,41.77873204313657,-97.50037384094247,111.6686471094024,268.42304637755336,136.76324000023558,-75.87957060370523,-93.52485116794193,-86.48902391037427
25.51789945384852,-24.458030984064187,-49.97593043793009,-13.288883961922211,50.50586467287391,-49.445996202972964,104.18102013007204,278.6650559494056,162.27757915004878,-38.7085883995947,-57.50450369040711,-56.161820625059555
47.74710792080078,26.03514252124883,-21.711965399569458,-60.764679181531406,58.60309062064631,15.179159821519686,88.48315451122255,273.3374449510151,180.61245842874075,11.213277205127321,-7.093379198408087,-13.563981816790362
73.55658206884212,89.15892723877636,15.602345169916553,-118.13604568833692,65.75540948394512,96.96009982378946,63.325050445126024,248.6302166336494,188.41788170677324,74.636029203474,58.88852498265001,42.16449565901825
102.59632298370275,164.7333272405222,62.13700425680157,-184.96298660407086,71.52782085536367,195.80182936897708,27.42670813296594,200.19337423351843,181.6438528338846,150.91967055512214,140.22121149742478,111.15361492579235
133.65633174086875,251.72834657754098,118.07201483665425,-259.5205050297467,74.62032432260378,310.7643539959215,-19.211872215170004,126.08692097162913,157.34037563892167,239.00420418629278,236.54468296053358,192.96337908568577
165.8566094055404,348.3739892797998,182.51737987424127,-340.04360404554814,74.59791946848236,439.63267921697303,-76.75069038029758,25.74086005364107,113.40745392967256,336.9596329896332,346.05894195645203,286.0637912194677
198.0971570325909,451.4702593560402,253.37310232343108,-423.83228671071913,71.41060587093838,578.1568105178076,-144.32974613454434,-99.10480533027729,49.58509149270061,443.0059598241015,466.603991039414,388.0948543864115
228.96797566652586,556.4571607936424,327.48918512709815,-507.19655606345566,65.22338310304019,720.2017533572426,-219.67903924115808,-242.9500720055919,-31.066707906821094,555.053187514852,594.7698327333131,495.3665716241845
257.11906634144316,657.7946975584895,400.67563121702784,-586.0164151207969,56.781250732993,858.1325131670541,-299.64856945451623,-398.43493681354573,-124.12794052527373,669.4913188531227,725.2864695316064,602.6089459487384
280.8704300809933,750.3028735948335,469.43244351382174,-656.0218668785194,46.15420832414659,985.0190953517942,-380.34833652013583,-559.1693966113004,-226.21860264075622,781.4703565961249,852.4639038972185,704.5019803542019
298.85206789834047,828.0416928251625,529.1896249268032,-712.8729143110312,34.25725543500342,1092.636505288613,-458.0783401746832,-718.0034482720778,-333.52869055324766,884.8303034669343,969.0221382624486,795.0356778127731
310.13398079612426,886.0311591500673,575.8971783539246,-753.1495603712679,22.185391619226948,1173.9797483270777,-528.9885801459852,-866.7670886853,-441.288200584768,973.461162154383,1068.0911750288783,868.7800412746129
313.85616976642143,920.5312764481127,606.675106681673,-774.121807990588,10.518616425650173,1223.8688297889967,-590.1790561530399,-997.9903147567302,-545.1671290795389,1040.1129353129556,1142.511016567281,921.2750736677418
309.93863579070876,929.5120485757068,619.5734127849795,-774.6946600786729,0.15192939828452712,1239.2987549682434,-639.0697679060293,-1104.7431234086107,-640.7454724041429,1078.555625562684,1187.0816652175345,949.3907778979346
298.9513798398264,911.8034793669711,612.8520995271265,-754.8531195234232,-7.474669923671016,1218.229529130581,-673.7807151063303,-1181.415511579802,-722.2532269476812,1087.2992354890466,1199.243123288531,951.0871568486189
281.3944028739416,867.5155726336161,586.1211697596565,-715.152189190861,-11.666182005820518,1160.5761575134904,-691.8518974465286,-1223.5774762259207,-784.370389121931,1067.133767642868,1178.4953930580953,925.7542133807717
